entry_time,exit_time,side,quantity,entry_price,exit_price,pnl,pnl_pct
"2025-08-04T05:30","2025-08-04T05:45",long,1.00,22980.25,22991.75,11.50,0.05
"2025-08-04T11:45","2025-08-04T12:00",long,1.00,23061.25,23045.50,-15.75,-0.07
"2025-08-04T13:15","2025-08-04T13:30",long,1.00,23072.50,23094.00,21.50,0.09
"2025-08-04T20:00","2025-08-04T20:15",long,1.00,23254.25,23334.75,80.50,0.35
"2025-08-04T23:15","2025-08-04T23:30",long,1.00,23338.75,23326.00,-12.75,-0.05
